Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.2898		0.4043		0.0000		0.5879		0.00032832
115		0.2844		0.4129		0.0000		0.5885		0.00032675
116		0.2876		0.4010		0.0000		0.5945		0.00032518
117		0.2946		0.4296		0.0000		0.5722		0.00032361
118		0.2875		0.4257		0.0000		0.5814		0.00032203
119		0.2862		0.4102		0.0000		0.5931		0.00032045
120		0.2921		0.3936		0.0000		0.5980		0.00031888
121		0.2893		0.4542		0.0000		0.5561		0.00031730
122		0.2890		0.4382		0.0000		0.5723		0.00031572
123		0.2853		0.4095		0.0000		0.5821		0.00031414
124		0.2786		0.4032		0.0000		0.5997		0.00031256
125		0.2808		0.4104		0.0000		0.5906		0.00031098
126		0.2815		0.4019		0.0000		0.6009		0.00030940
127		0.2797		0.4083		0.0000		0.5979		0.00030782
128		0.2766		0.4459		0.0000		0.5526		0.00030624
129		0.2927		0.4088		0.0000		0.5888		0.00030465
130		0.2807		0.4230		0.0000		0.5845		0.00030307
131		0.2798		0.4201		0.0000		0.5726		0.00030148
132		0.2750		0.4108		0.0000		0.5769		0.00029989
133		0.2723		0.4181		0.0000		0.5774		0.00029830
134		0.2852		0.3937		0.0000		0.5942		0.00029671
135		0.2855		0.4060		0.0000		0.5857		0.00029512
136		0.2734		0.4011		0.0000		0.5913		0.00029353
137		0.2722		0.4086		0.0000		0.5819		0.00029194
138		0.2735		0.4163		0.0000		0.5848		0.00029035
139		0.2723		0.4031		0.0000		0.5983		0.00028876
140		0.2767		0.4893		0.0000		0.5386		0.00028716
141		0.2840		0.4263		0.0000		0.5613		0.00028556
142		0.2817		0.3958		0.0000		0.5972		0.00028397
143		0.2673		0.3902		0.0000		0.6037		0.00028237
144		0.2683		0.3934		0.0000		0.6062		0.00028077
145		0.2731		0.4081		0.0000		0.5874		0.00027917
146		0.2686		0.4045		0.0000		0.5897		0.00027757
147		0.2691		0.4014		0.0000		0.5991		0.00027597
148		0.2708		0.4071		0.0000		0.5927		0.00027437
149		0.2738		0.4468		0.0000		0.5789		0.00027276
150		0.2680		0.4016		0.0000		0.6126		0.00027116
151		0.2670		0.4000		0.0000		0.5943		0.00026955
152		0.2775		0.3974		0.0000		0.6079		0.00026794
153		0.2678		0.3862		0.0000		0.6172		0.00026634
154		0.2613		0.4070		0.0000		0.5953		0.00026473
155		0.2616		0.3896		0.0000		0.6051		0.00026312
156		0.2699		0.4040		0.0000		0.5817		0.00026150
157		0.2706		0.4548		0.0000		0.5539		0.00025989
158		0.2663		0.3991		0.0000		0.5828		0.00025828
159		0.2595		0.4074		0.0000		0.5977		0.00025666
160		0.2591		0.4250		0.0000		0.5770		0.00025505
161		0.2635		0.4153		0.0000		0.5811		0.00025343
162		0.2595		0.4109		0.0000		0.5872		0.00025181
163		0.2603		0.4392		0.0000		0.5835		0.00025019
164		0.2682		0.3839		0.0000		0.6061		0.00024857
165		0.2600		0.3936		0.0000		0.6008		0.00024695
166		0.2579		0.4328		0.0000		0.5827		0.00024533
167		0.2627		0.3873		0.0000		0.6064		0.00024370
168		0.2566		0.4092		0.0000		0.5765		0.00024208
169		0.2606		0.4246		0.0000		0.5836		0.00024045
170		0.2617		0.3914		0.0000		0.6173		0.00023882
171		0.2574		0.3872		0.0000		0.6139		0.00023719
172		0.2544		0.3963		0.0000		0.6187		0.00023556
173		0.2587		0.4069		0.0000		0.6036		0.00023393
174		0.2585		0.3954		0.0000		0.5981		0.00023230
175		0.2566		0.3908		0.0000		0.6148		0.00023067
176		0.2517		0.4042		0.0000		0.6041		0.00022903
177		0.2567		0.3855		0.0000		0.6183		0.00022739
178		0.2525		0.4025		0.0000		0.6050		0.00022576
179		0.2491		0.4035		0.0000		0.5968		0.00022412
180		0.2602		0.4129		0.0000		0.5764		0.00022248
181		0.2554		0.3893		0.0000		0.6120		0.00022083
182		0.2481		0.3862		0.0000		0.6095		0.00021919
183		0.2472		0.3988		0.0000		0.6090		0.00021755
184		0.2484		0.6053		0.0000		0.5266		0.00021590
185		0.2532		0.3945		0.0000		0.6140		0.00021425
186		0.2620		0.3955		0.0000		0.6102		0.00021260
187		0.2537		0.4088		0.0000		0.5879		0.00021095
188		0.2474		0.4004		0.0000		0.5959		0.00020930
189		0.2465		0.3960		0.0000		0.6013		0.00020765
190		0.2437		0.3913		0.0000		0.6011		0.00020600
191		0.2467		0.4282		0.0000		0.5688		0.00020434
192		0.2554		0.3924		0.0000		0.6156		0.00020268
193		0.2464		0.3978		0.0000		0.6084		0.00020102
194		0.2471		0.4018		0.0000		0.6090		0.00019936
195		0.2454		0.4056		0.0000		0.6120		0.00019770
196		0.2481		0.3938		0.0000		0.6138		0.00019604
197		0.2507		0.3976		0.0000		0.6078		0.00019437
198		0.2448		0.3994		0.0000		0.6059		0.00019270
199		0.2448		0.3891		0.0000		0.6198		0.00019104
200		0.2387		0.3858		0.0000		0.6261		0.00018937
201		0.2443		0.3866		0.0000		0.6185		0.00018769
202		0.2400		0.3961		0.0000		0.6222		0.00018602
203		0.2456		0.4113		0.0000		0.6110		0.00018435
204		0.2404		0.3944		0.0000		0.6129		0.00018267
205		0.2440		0.3910		0.0000		0.6184		0.00018099
206		0.2376		0.3930		0.0000		0.6227		0.00017931
207		0.2385		0.3854		0.0000		0.6236		0.00017763
208		0.2500		0.4116		0.0000		0.6011		0.00017594
209		0.2432		0.3994		0.0000		0.6001		0.00017426
210		0.2523		0.3896		0.0000		0.6146		0.00017257
